comparison,item,direct_count,group_count,combined_count,direct_per_1000_tokens,group_per_1000_tokens,difference_direct_minus_group_per_1000,log_ratio_direct_vs_group,log_likelihood_g2,dominant_modality,direct_tokens_denominator,group_tokens_denominator
direct_vs_group_psychosomatic,offen,11,41,52,0.1247,0.52,-0.3953,-2.0135,21.9569,group,88221,78851
direct_vs_group_psychosomatic,gewesen,17,51,68,0.1927,0.6468,-0.4541,-1.7192,21.8224,group,88221,78851
direct_vs_group_psychosomatic,App,26,2,28,0.2947,0.0254,0.2694,3.244,21.7998,direct,88221,78851
direct_vs_group_psychosomatic,Hab,26,2,28,0.2947,0.0254,0.2694,3.244,21.7998,direct,88221,78851
direct_vs_group_psychosomatic,schau,17,0,17,0.1927,0.0,0.1927,4.9673,21.7117,direct,88221,78851
direct_vs_group_psychosomatic,liebe,61,17,78,0.6914,0.2156,0.4758,1.6512,21.6454,direct,88221,78851
direct_vs_group_psychosomatic,angesetzt,7,33,40,0.0793,0.4185,-0.3392,-2.3212,21.3991,group,88221,78851
direct_vs_group_psychosomatic,BIA,22,1,23,0.2494,0.0127,0.2367,3.7449,21.3724,direct,88221,78851
direct_vs_group_psychosomatic,Übelkeit,3,24,27,0.034,0.3044,-0.2704,-2.9693,21.0361,group,88221,78851
direct_vs_group_psychosomatic,PSYCHE,0,14,14,0.0,0.1776,-0.1776,-5.02,21.0242,group,88221,78851
direct_vs_group_psychosomatic,SOMA,0,14,14,0.0,0.1776,-0.1776,-5.02,21.0242,group,88221,78851
direct_vs_group_psychosomatic,aktiven,0,14,14,0.0,0.1776,-0.1776,-5.02,21.0242,group,88221,78851
direct_vs_group_psychosomatic,Ösophagusvarizen,0,14,14,0.0,0.1776,-0.1776,-5.02,21.0242,group,88221,78851
direct_vs_group_psychosomatic,Das,111,46,157,1.2582,0.5834,0.6748,1.0997,20.9338,direct,88221,78851
direct_vs_group_psychosomatic,wegen,127,56,183,1.4396,0.7102,0.7294,1.0122,20.8871,direct,88221,78851
direct_vs_group_psychosomatic,nur,209,111,320,2.3691,1.4077,0.9613,0.7479,20.5044,direct,88221,78851
direct_vs_group_psychosomatic,Entlassung,30,69,99,0.3401,0.8751,-0.535,-1.3502,20.479,group,88221,78851
direct_vs_group_psychosomatic,Atosil,1,18,19,0.0113,0.2283,-0.2169,-3.7865,20.473,group,88221,78851
direct_vs_group_psychosomatic,Hintergrund,1,18,19,0.0113,0.2283,-0.2169,-3.7865,20.473,group,88221,78851
direct_vs_group_psychosomatic,Bist,16,0,16,0.1814,0.0,0.1814,4.8824,20.4346,direct,88221,78851
